Fuel Type Code,Station Name,Street Address,Intersection Directions,City,State,ZIP,Plus4,Station Phone,Status Code,Expected Date,Groups With Access Code,Access Days Time,Cards Accepted,BD Blends,NG Fill Type Code,NG PSI,EV Level1 EVSE Num,EV Level2 EVSE Num,EV DC Fast Count,EV Other Info,EV Network,EV Network Web,Geocode Status,Latitude,Longitude,Date Last Confirmed,ID,Updated At,Owner Type Code,Federal Agency ID,Federal Agency Name,Open Date,Hydrogen Status Link,NG Vehicle Class,LPG Primary,E85 Blender Pump,EV Connector Types,Country,Intersection Directions (French),Access Days Time (French),BD Blends (French),Groups With Access Code (French),Hydrogen Is Retail,Access Code,Access Detail Code,Federal Agency Code,Facility Type,CNG Dispenser Num,CNG On-Site Renewable Source,CNG Total Compression Capacity,CNG Storage Capacity,LNG On-Site Renewable Source,E85 Other Ethanol Blends,EV Pricing,EV Pricing (French),LPG Nozzle Types,Hydrogen Pressures,Hydrogen Standards,CNG Fill Type Code,CNG PSI,CNG Vehicle Class,LNG Vehicle Class,EV On-Site Renewable Source,Restricted Access,RD Blends,RD Blends (French),RD Blended with Biodiesel,RD Maximum Biodiesel Level,NPS Unit Name,CNG Station Sells Renewable Natural Gas,LNG Station Sells Renewable Natural Gas,Maximum Vehicle Class,EV Workplace Charging,Funding Sources
ELEC,Randolph-Macon College - Andrews Hall,420 Henry St,Near intersection of Smith Street,Ashland,VA,23005,,804-752-7244,E,,Public,24 hours daily,,,,,,1,,,Non-Networked,,200-8,37.764986,-77.476715,2025-11-13,41108,2026-02-02 23:16:24 UTC,P,,,2011-09-15,,,,,J1772,US,,,,Public,,public,,,COLLEGE_CAMPUS,,,,,,,Free,,,,,,,,,,false,,,,,,,,LD,false,
ELEC,Harrisonburg Electric Commission,89 W Bruce St,"Behind the HEC building, off S Liberty St",Harrisonburg,VA,22801,,540-434-5361,E,,Public,24 hours daily,,,,,,3,,,Non-Networked,,GPS,38.447533,-78.870744,2024-10-11,41395,2025-02-12 00:16:32 UTC,T,,,2011-10-03,,,,,J1772,US,,,,Public,,public,,,UTILITY,,,,,,,Free,,,,,,,,,,false,,,,,,,,LD,false,
ELEC,Shirlie Slack Mitsubishi,3475 Jefferson Davis Hwy,,Fredericksburg,VA,22408,,,E,,Public - Call ahead,Dealership business hours,,,,,,1,,,Non-Networked,,200-9,38.271867,-77.493368,2025-11-13,45798,2026-02-02 23:16:24 UTC,P,,,2012-03-15,,,,,J1772,US,,,,Public - Appeler à l'avance,,public,CALL,,CAR_DEALER,,,,,,,,,,,,,,,,,false,,,,,,,,LD,false,
ELEC,Hall Nissan,3417 Western Branch Blvd,,Chesapeake,VA,23321,,757-673-8000,E,,Public - Call ahead,Dealership business hours,,,,,,3,1,,Non-Networked,,200-8,36.86525,-76.41779,2024-02-12,47547,2025-02-12 00:16:32 UTC,P,,,2012-01-31,,,,,CHADEMO J1772 J1772COMBO,US,,,,Public - Appeler à l'avance,,public,CALL,,CAR_DEALER,,,,,,,Free,,,,,,,,,,false,,,,,,,,LD,false,
ELEC,Loyalty Nissan,16301 Priority Way,,Chester,VA,23831,,804-414-1700,E,,Public - Call ahead,Dealership business hours,,,,,,5,1,,Non-Networked,,GPS,37.304917,-77.392372,2024-02-12,47551,2025-02-12 00:16:32 UTC,P,,,2012-01-31,,,,,CHADEMO J1772,US,,,,Public - Appeler à l'avance,,public,CALL,,CAR_DEALER,,,,,,,Free,,,,,,,,,,false,,,,,,,,,false,
ELEC,Lynchburg Nissan,18588 Forest Rd,,Forest,VA,24551,,434-385-7733,E,,Public,Dealership business hours,,,,,,,1,,IN_CHARGE,https://inchargeus.com,GPS,37.386059,-79.243614,2026-01-13,47555,2026-02-02 23:16:24 UTC,P,,,2012-06-05,,,,,CHADEMO J1772COMBO,US,,,,Public,,public,,,CAR_DEALER,,,,,,,Free,,,,,,,,,,true,,,,,,,,LD,false,
ELEC,Hart Nissan,6564 Mechanicsville Pike,,Mechanicsville,VA,23111,,,E,,Public,24 hours daily,,,,,,2,,,Blink Network,https://blinkcharging.com,GPS,37.61328,-77.335851,2026-01-13,47561,2026-02-02 23:16:24 UTC,P,,,2017-02-21,,,,,J1772,US,,,,Public,,public,,,CAR_DEALER,,,,,,,Free,,,,,,,,,,true,,,,,,,,LD,false,
ELEC,Priority Nissan - Newport News,12925 Jefferson Ave,,Newport News,VA,23608,,757-369-6600,E,,Public - Call ahead,Dealership business hours,,,,,,1,,,Non-Networked,,200-9,37.151806,-76.531052,2024-02-12,47563,2025-02-12 00:16:32 UTC,P,,,2012-01-31,,,,,J1772,US,,,,Public - Appeler à l'avance,,public,CALL,,CAR_DEALER,,,,,,,Free,,,,,,,,,,false,,,,,,,,,false,
ELEC,Nissan of Richmond,11401 W Broad St,,Richmond,VA,23233,,804-346-4200,E,,Public - Call ahead,Dealership business hours,,,,,,1,1,,Non-Networked,,GPS,37.650319,-77.609022,2024-02-12,47567,2025-02-12 00:16:32 UTC,P,,,2012-01-31,,,,,CHADEMO J1772,US,,,,Public - Appeler à l'avance,,public,CALL,,CAR_DEALER,,,,,,,Free,,,,,,,,,,false,,,,,,,,LD,false,
ELEC,Gunter Nissan,4760 Greensboro Rd,,Ridgeway,VA,24148,,276-956-1212,E,,Public,Dealership business hours,,,,,,1,,,Non-Networked,,GPS,36.629646,-79.860467,2026-01-13,47569,2026-02-02 23:16:24 UTC,P,,,2012-06-05,,,,,J1772,US,,,,Public,,public,,,CAR_DEALER,,,,,,,,,,,,,,,,,true,,,,,,,,LD,false,
ELEC,Hall Nissan - Virginia Beach,3757 Booney Rd,,Virginia Beach,VA,23452,,757-631-7600,E,,Public - Call ahead,Dealership business hours,,,,,,2,1,,Non-Networked,,GPS,36.839066,-76.102783,2026-01-13,47577,2026-02-02 23:16:24 UTC,P,,,2012-01-31,,,,,CHADEMO J1772 J1772COMBO,US,,,,Public - Appeler à l'avance,,public,CALL,,CAR_DEALER,,,,,,,Free,,,,,,,,,,false,,,,,,,,LD,false,
ELEC,Cowles Nissan,14777 Jefferson Davis Hwy,,Woodbridge,VA,22191,,888-556-8318,E,,Public - Call ahead,Dealership business hours; contact 703-497-3000 for more information,,,,,,3,1,,Non-Networked,,GPS,38.629561191,-77.274272662,2026-01-13,47579,2026-02-02 23:16:24 UTC,P,,,2012-01-31,,,,,CHADEMO J1772,US,,,,Public - Appeler à l'avance,,public,CALL,,CAR_DEALER,,,,,,,Free,,,,,,,,,,false,,,,,,,,LD,false,
ELEC,Blue Ridge Nissan,1405 E Main St,,Wytheville,VA,24382,,888-517-6754,E,,Public,Dealership business hours,,,,,,1,,,Non-Networked,,GPS,36.95076,-81.06755,2026-01-13,47869,2026-02-02 23:16:24 UTC,P,,,2012-06-05,,,,,J1772,US,,,,Public,,public,,,CAR_DEALER,,,,,,,,,,,,,,,,,true,,,,,,,,LD,false,
ELEC,GEORGE MASON U SHENANDOAH 2,4400 University Dr,1st level-adjacent to stairwell and elevator Shenandoah deck - Furthest to the Left,Fairfax,VA,22030,,888-758-4389,E,,Public,24 hours daily,,,,,,2,,,ChargePoint Network,https://www.chargepoint.com,GPS,38.829218,-77.304585,2026-06-09,49751,2026-06-09 01:28:34 UTC,,,,2015-10-02,,,,,J1772,US,,,,Public,,public,,,,,,,,,,,,,,,,,,,,false,,,,,,,,,false,
ELEC,Magic City Ford Lincoln Isuzu,809 Williamson Rd NE,,Roanoke,VA,24016,,540-345-0911,E,,Public - Call ahead,Dealership business hours,,,,,,2,,,Non-Networked,,200-9,37.280149,-79.933227,2025-11-13,51902,2026-02-02 23:16:24 UTC,P,,,2013-04-01,,,,,J1772,US,,,,Public - Appeler à l'avance,,public,CALL,,CAR_DEALER,,,,,,,Free,,,,,,,,,,false,,,,,,,,LD,false,
ELEC,Ashland Town Hall,210 S Railroad Ave,,Ashland,VA,23005,,804-798-9219,E,,Public,24 hours daily,,,,,,1,,,Non-Networked,,GPS,37.758078,-77.48209,2024-09-12,52262,2025-02-12 00:16:32 UTC,LG,,,2013-04-01,,,,,J1772,US,,,,Public,,public,,,MUNI_GOV,,,,,,,Free,,,,,,,,,,false,,,,,,,,LD,false,
ELEC,University of Virginia - Central Grounds Garage,400 Emmet St S,Located in the Central Grounds Garage,Charlottesville,VA,22903,,434-924-7231,E,,Public,Garage business hours; maximum session time of four hours,,,,,,1,1,,Non-Networked,,200-9,38.036315,-78.506591,2024-10-11,52553,2025-02-12 00:16:32 UTC,P,,,2013-04-26,,,,,J1772 J1772COMBO,US,,,,Public,,public,,,COLLEGE_CAMPUS,,,,,,,$2 per hour parking fee,,,,,,,,,,false,,,,,,,,LD,false,
ELEC,Berglund Ford Mazda,834 E Main St,,Salem,VA,24153,,888-355-8571,E,,Public - Call ahead,24 hours daily,,,,,,2,,,Non-Networked,,200-9,37.294549,-80.045203,2025-11-13,53057,2026-02-02 23:16:24 UTC,P,,,2013-01-01,,,,,J1772,US,,,,Public - Appeler à l'avance,,public,CALL,,CAR_DEALER,,,,,,,Free,,,,,,,,,,false,,,,,,,,LD,false,
ELEC,Martin Horn,210 Carlton Rd,,Charlottesville,VA,22902,,434-293-6171,E,,Public - Call ahead,24 hours daily,,,,,,2,,,Non-Networked,,200-9,38.022977,-78.468836,2025-12-12,53699,2026-02-02 23:16:24 UTC,P,,,2013-11-25,,,,,J1772 TESLA,US,,,,Public - Appeler à l'avance,,public,CALL,,OFFICE_BLDG,,,,,,,Free,,,,,,,,,,false,,,,,,,,MD,false,
ELEC,Sheehy Ford Lincoln,10601 Midlothian Turnpike,,Midlothian,VA,23235,,804-794-0500,E,,Public - Call ahead,Dealership business hours; for customer use only,Wright_Exp,,,,,1,,,Non-Networked,,GPS,37.506999,-77.592621,2025-11-13,53954,2026-02-02 23:16:24 UTC,P,,,2013-09-01,,,,,J1772,US,,,,Public - Appeler à l'avance,,public,CALL,,CAR_DEALER,,,,,,,Free,,,,,,,,,,true,,,,,,,,MD,false,
ELEC,Casey Chevrolet,11700 Jefferson Ave,,Newport News,VA,23606,,757-750-1085,E,,Public - Call ahead,Dealership business hours,,,,,,2,,,Non-Networked,,200-9,37.075503,-76.474858,2025-11-13,53955,2026-02-02 23:16:24 UTC,P,,,2013-10-01,,,,,J1772,US,,,,Public - Appeler à l'avance,,public,CALL,,CAR_DEALER,,,,,,,Free,,,,,,,,,,false,,,,,,,,LD,false,
ELEC,Hall Ford Lincoln,12896 Jefferson Ave,,Newport News,VA,23608,,757-989-5700,E,,Public - Call ahead,Dealership business hours; see sales office for access,,,,,,2,,,Non-Networked,,200-9,37.148296,-76.525986,2025-11-13,53956,2026-02-02 23:16:24 UTC,P,,,2013-10-01,,,,,J1772,US,,,,Public - Appeler à l'avance,,public,CALL,,CAR_DEALER,,,,,,,Free,,,,,,,,,,false,,,,,,,,LD,false,
ELEC,Rick Hendrick Chevrolet Buick GMC,12050 W Broad St,,Richmond,VA,23233,,804-364-4500,E,,Public - Call ahead,24 hours daily,,,,,,1,,,Non-Networked,,GPS,37.658874,-77.630953,2025-11-13,53958,2026-02-02 23:16:24 UTC,P,,,2017-02-01,,,,,J1772,US,,,,Public - Appeler à l'avance,,public,CALL,,CAR_DEALER,,,,,,,Free,,,,,,,,,,false,,,,,,,,LD,false,
ELEC,Omni - Richmond Hotel,100 S 12th St,,Richmond,VA,23219,,804-344-7000,E,,Public,24 hours daily; for guest use only; see valet for access,,,,,,1,,,Non-Networked,,200-9,37.535744,-77.435268,2025-10-13,53959,2026-02-02 23:16:24 UTC,P,,,2013-09-01,,,,,TESLA,US,,,,Public,,public,,,HOTEL,,,,,,,Free,,,,,,,,,,true,,,,,,,,LD,false,
ELEC,Whole Foods Market,1800 Laskin Rd,,Virginia Beach,VA,23454,,757-422-0444,E,,Public,8am-9pm daily,,,,,,2,,,Non-Networked,,200-9,36.850535,-76.027886,2025-11-13,53963,2026-02-02 23:16:24 UTC,P,,,2013-08-01,,,,,J1772,US,,,,Public,,public,,,GROCERY,,,,,,,Free,,,,,,,,,,false,,,,,,,,MD,false,
ELEC,Sheehy Ford,11450 Washington Hwy,"one at the front side of building, one on southside of building",Ashland,VA,23005,,804-410-0643,E,,Public - Call ahead,For dealership use only,,,,,,2,,,Non-Networked,,200-9,37.72489,-77.469528,2025-11-13,53998,2026-02-02 23:16:24 UTC,P,,,2013-09-01,,,,,J1772,US,,,,Public - Appeler à l'avance,,public,CALL,,CAR_DEALER,,,,,,,Free,,,,,,,,,,true,,,,,,,,MD,false,
ELEC,Campus Auto,1208 N Main St,,Blacksburg,VA,24060,,540-951-7398,E,,Public,24 hours daily,,,,,,2,,,Non-Networked,,200-9,37.242212,-80.417151,2024-12-10,53999,2025-02-12 00:16:32 UTC,P,,,2014-01-15,,,,,J1772,US,,,,Public,,public,,,CAR_DEALER,,,,,,,Free,,,,,,,,,,false,,,,,,,,LD,false,
ELEC,Duncan Ford Lincoln,125 Jennelle Rd,,Blacksburg,VA,24060,,540-552-4331,E,,Public - Call ahead,Dealership business hours; For Ford vehicle use only,,,,,,2,,,Non-Networked,,GPS,37.179806,-80.411408,2025-11-13,54001,2026-02-02 23:16:24 UTC,P,,,2013-09-01,,,,,J1772,US,,,,Public - Appeler à l'avance,,public,CALL,,CAR_DEALER,,,,,,,Free,,,,,,,,,,true,,,,,,,,MD,false,
ELEC,Inn at Virginia Tech,901 Prices Fork Rd,,Blacksburg,VA,24060,,833-372-9316,E,,Public,24 hours daily; for guest use only,,,,,,2,,,Non-Networked,,GPS,37.22983,-80.429844,2025-11-13,54002,2026-02-02 23:16:24 UTC,P,,,2013-11-02,,,,,J1772,US,,,,Public,,public,,,HOTEL,,,,,,,Free,,,,,,,,,,true,,,,,,,,LD,false,
ELEC,Village Center,2387 Warm Hearth Dr,,Blacksburg,VA,24060,,540-443-3800,E,,Public,24 hours daily; pay lot,,,,,,1,,,Non-Networked,,200-9,37.197398,-80.419887,2024-11-06,54005,2025-02-12 00:16:32 UTC,P,,,2013-06-01,,,,,J1772,US,,,,Public,,public,,,PARKING_LOT,,,,,,,$1 per hour,,,,,,,,,,false,,,,,,,,LD,false,
ELEC,Cavalier Ford at Chesapeake Square,4021 Portsmouth Blvd,Located at the sales department,Chesapeake,VA,23321,,757-488-8311,E,,Public - Call ahead,Dealership business hours,,,,,,2,,,Non-Networked,,200-9,36.823418,-76.406357,2024-12-10,54007,2025-02-12 00:16:32 UTC,P,,,2014-01-15,,,,,J1772,US,,,,Public - Appeler à l'avance,,public,CALL,,CAR_DEALER,,,,,,,Free,,,,,,,,,,false,,,,,,,,LD,false,
ELEC,CMA's Colonial Chevrolet,12420 Jefferson Davis Hwy,Located by the parts and service department,Chester,VA,23831,,804-415-4832,E,,Public - Call ahead,24 hours daily,,,,,,3,1,,Non-Networked,,200-9,37.355577,-77.414228,2025-11-13,54008,2026-02-02 23:16:24 UTC,P,,,2013-10-01,,,,,J1772 J1772COMBO,US,,,,Public - Appeler à l'avance,,public,CALL,,CAR_DEALER,,,,,,,Free,,,,,,,,,,false,,,,,,,,LD,false,
ELEC,Hampton Chevrolet,1073 W Mercury Blvd,,Hampton,VA,23666,,757-838-5450,E,,Public - Call ahead,Dealership business hours,,,,,,3,,,Non-Networked,,200-9,37.041065,-76.384783,2025-11-13,54012,2026-02-02 23:16:24 UTC,P,,,2013-06-01,,,,,J1772,US,,,,Public - Appeler à l'avance,,public,CALL,,CAR_DEALER,,,,,,,Free,,,,,,,,,,false,,,,,,,,MD,false,
ELEC,Williamsburg KOA,4000 Newman Rd,,Williamsburg,VA,23188,,757-565-2907,E,,Public,9am-8pm daily; Drivers must bring their own J1772 cordset for Level 1 charging,,,,,5,,,,Non-Networked,,200-9,37.362569,-76.710786,2024-10-11,60877,2025-12-03 17:22:55 UTC,P,,,2014-12-15,,,,,NEMA520,US,,,,Public,,public,,,CAMPGROUND,,,,,,,"$8 per session, Free if camping",,,,,,,,,,false,,,,,,,,MD,false,
ELEC,Wytheville KOA,231 KOA Rd,,Wytheville,VA,24382,,276-228-2601,E,,Public - Call ahead,9am-5pm daily; Drivers must bring their own J1772 cordset for Level 1 charging,,,,,2,6,,,Non-Networked,,200-8,36.933124,-81.004196,2024-06-13,60891,2026-02-02 23:16:24 UTC,P,,,2012-08-28,,,,,J1772 NEMA520,US,,,,Public - Appeler à l'avance,,public,CALL,,CAMPGROUND,,,,,,,Level 2 chargers included in RV space rental price; Level 1 chargers $20 per session,,,,,,,,,,false,,,,,,,,LD,false,
ELEC,POA STATION 3,8421 Broad St,Parking garage level P5,McLean,VA,22102,,888-758-4389,E,,Public,24 hours daily,,,,,,2,,,ChargePoint Network,https://www.chargepoint.com,GPS,38.927627,-77.23808,2026-06-09,62246,2026-06-09 01:41:32 UTC,,,,2014-06-25,,,,,J1772,US,,,,Public,,public,,,,,,,,,,,,,,,,,,,,false,,,,,,,,,false,
ELEC,TYSON TOWER TYSONS TOWER 4,7900 Tysons One Pl,,Tysons Corner,VA,22102,,888-758-4389,E,,Public,24 hours daily,,,,,,1,,,ChargePoint Network,https://www.chargepoint.com,GPS,38.91956,-77.221022,2026-06-09,62503,2026-06-09 01:06:34 UTC,,,,2014-07-17,,,,,J1772,US,,,,Public,,public,,,,,,,,,,,,,,,,,,,,false,,,,,,,,,false,
ELEC,Scope Arena Parking,201 E Brambleton Ave,,Norfolk,VA,23510,,757-441-2056,E,,Public,24 hours daily; pay lot,,,,,,,1,,Non-Networked,,GPS,36.852443,-76.285958,2024-11-06,63350,2025-02-12 00:16:32 UTC,P,,,2015-02-04,,,,,CHADEMO J1772COMBO,US,,,,Public,,public,,,ARENA,,,,,,,Free,,,,,,,,,,false,,,,,,,,LD,false,
ELEC,Holiday Trav-L-Park,1075 General Booth Blvd,,Virginia Beach,VA,23451,,757-425-0249,E,,Public - Call ahead,24 hours daily; Drivers must bring their own J1772 cordset for Level 1 charging,,,,,1,,,,Non-Networked,,200-9,36.804863,-75.997863,2025-12-12,63374,2026-02-02 23:16:24 UTC,P,,,2014-08-01,,,,,NEMA1450,US,,,,Public - Appeler à l'avance,,public,CALL,,CAMPGROUND,,,,,,,Free,,,,,,,,,,false,,,,,,,,LD,false,
ELEC,Oakhurst Inn,100 Oakhurst Cir,,Charlottesville,VA,22903,,434-872-0100,E,,Public,24 hours daily; guest use only; see front desk for access,,,,,,1,,,Non-Networked,,200-9,38.031941,-78.506798,2022-02-10,64393,2026-02-01 19:22:58 UTC,P,,,2014-11-25,,,,,J1772,US,,,,Public,,public,,,HOTEL,,,,,,,,,,,,,,,,,true,,,,,,,,LD,false,
ELEC,City of Roanoke,102 Market St SE,Take exit 5 off of I-581 toward downtown Roanoke. After going over the railroad turn right onto Norfolk Ave SE then turn left onto Market St. The charging station is on the right at the end of the street.,Roanoke,VA,24011,,540-343-0585,E,,Public,24 hours daily; pay lot,,,,,,,1,,Non-Networked,,200-9,37.272567,-79.938925,2025-12-12,64394,2026-02-02 23:16:24 UTC,LG,,,2014-11-01,,,,,CHADEMO,US,,,,Public,,public,,,STREET_PARKING,,,,,,,$3 per session,,,,,,,,,,false,,,,,,,,LD,false,
ELEC,LIBBIE MILL A2,4901 Libbie Mill E Blvd.,,Richmond,VA,23230,,888-758-4389,E,,Public,24 hours daily,,,,,,2,,,ChargePoint Network,https://www.chargepoint.com,GPS,37.590103,-77.494079,2026-06-09,64948,2026-06-09 01:08:45 UTC,,,,2014-12-24,,,,,J1772,US,,,,Public,,public,,,,,,,,,,,,,,,,,,,,false,,,,,,,,,false,
ELEC,New Kent Pit Stop,6201 Chesapeake Cir,,New Kent,VA,23124,,804-966-8600,E,,Public,24 hours daily,,,,,,,1,,Non-Networked,,GPS,37.490299,-77.027031,2024-02-12,65701,2025-02-12 00:16:32 UTC,P,,,2020-01-30,,,,,CHADEMO J1772COMBO,US,,,,Public,,public,,,TRAVEL_CENTER,,,,,,,Free,,,,,,,,,,false,,,,,,,,LD,false,
ELEC,Pearmund Cellars,6190 Georgetown Rd,,Broad Run,VA,20137,,540-347-3475,E,,Public,10am-6pm daily; for guest use only,,,,,,1,,,Non-Networked,,200-9,38.784327,-77.739199,2024-10-11,66424,2025-02-12 00:16:32 UTC,P,,,2015-03-18,,,,,J1772,US,,,,Public,,public,,,BREWERY_DISTILLERY_WINERY,,,,,,,Free,,,,,,,,,,true,,,,,,,,LD,false,
ELEC,Virginia Clean Cities - James Madison University,1401 Technology Dr,,Harrisonburg,VA,22802,,540-568-8896,E,,Public,24 hours daily,,,,,,4,,,Non-Networked,,GPS,38.465788,-78.852888,2024-11-06,66561,2025-02-12 00:16:32 UTC,P,,,2015-03-30,,,,,J1772,US,,,,Public,,public,,,COLLEGE_CAMPUS,,,,,,,Free,,,,,,,,,,false,,,,,,,,LD,false,
ELEC,JBG SMITH COMMERCE PARK B,11440 Commerce Park Dr,The station is located on the first floor of a parking garage. There is a fee to park.,Reston,VA,20191,,888-758-4389,E,,Public,24 hours daily,,,,,,2,,,ChargePoint Network,https://www.chargepoint.com,GPS,38.946836,-77.340746,2026-06-09,66647,2026-06-09 01:11:37 UTC,,,,2015-04-09,,,,,J1772,US,,,,Public,,public,,,,,,,,,,,,,,,,,,,,false,,,,,,,,,false,
ELEC,Prince George - Parking Garage,230 N Henry St,Prince George St and N Henry St,Williamsburg,VA,23185,,757-259-3797,E,,Public,6am-12am daily; pay lot,,,,,,2,,,Non-Networked,,GPS,37.272891,-76.70634,2023-01-10,67359,2025-11-14 14:12:19 UTC,LG,,,2015-06-01,,,,,J1772,US,,,,Public,,public,,,PAY_GARAGE,,,,,,,,,,,,,,,,,false,,,,,,,,LD,false,
ELEC,JBG SMITH COMMERCE PARK A,11400 Commerce Park Dr,The station is located on the first floor of a parking garage. There is a fee to park.,Reston,VA,20191,,888-758-4389,E,,Public,24 hours daily,,,,,,2,,,ChargePoint Network,https://www.chargepoint.com,GPS,38.946494,-77.340682,2026-06-09,67907,2026-06-09 01:12:05 UTC,,,,2015-06-18,,,,,J1772,US,,,,Public,,public,,,,,,,,,,,,,,,,,,,,false,,,,,,,,,false,
